created_at,entry_id,voltage,current,power,energy,frequency,power factor,temp
2/15/2025 9:17,104,182.23,0.071,15.2,0.017,50.32,0.62,31.4
2/15/2025 9:18,105,228.38,0.06,68.8,0.08,49.52,0.61,41.3
2/15/2025 9:18,106,239.63,0.061,91.4,0.083,49.95,0.49,43
2/15/2025 9:19,107,202.73,0.058,13.3,0.012,49.71,0.6,31.2
2/15/2025 9:20,108,180.96,0.071,13.3,0.014,49.59,0.53,29.9
2/15/2025 9:21,109,210.25,0.069,16,0.017,50.04,0.53,32.6
2/15/2025 9:21,110,195.24,0.034,7,0.007,49.51,0.65,30.3
2/15/2025 9:22,111,184.13,0.042,9,0.01,49.79,0.45,29.9
2/15/2025 9:23,112,220.93,0.078,53.1,0.062,49.54,0.69,37.8
2/15/2025 9:24,113,191.98,0.022,4.4,0.004,49.83,0.69,30.2
2/15/2025 9:24,114,189.77,0.064,13.4,0.013,50.42,0.45,30
2/15/2025 9:25,115,265.91,0.094,206,0.179,49.95,0.74,95.2
2/15/2025 9:26,116,210.91,0.064,11.6,0.011,49.98,0.46,29.3
2/15/2025 9:27,117,236.37,0.025,97.9,0.082,50.14,0.69,46.3
2/15/2025 9:27,118,189.76,0.032,7.1,0.008,50.11,0.63,30.4
2/15/2025 9:28,119,229.64,0.061,61.8,0.068,49.97,0.49,39.7
2/15/2025 9:29,120,236.24,0.03,62.2,0.072,49.6,0.6,39.7
2/15/2025 9:30,121,237.25,0.071,50.4,0.046,49.78,0.67,38.3
2/15/2025 9:30,122,259.43,0.088,247.6,0.251,50.16,0.81,92.7
2/15/2025 9:31,123,220.71,0.073,94.7,0.109,49.94,0.51,45.6
2/15/2025 9:32,124,235.69,0.068,55.8,0.051,50.47,0.5,36.6
2/15/2025 9:33,125,224.04,0.037,73.4,0.059,50.29,0.5,41.8
2/15/2025 9:33,126,219.68,0.039,8.9,0.009,49.84,0.65,29.9
2/15/2025 9:34,127,186.31,0.028,6.3,0.007,50.01,0.56,28.7
2/15/2025 9:35,128,185.09,0.054,10.6,0.012,50.03,0.44,30.5
2/15/2025 9:36,129,254.08,0.052,270.4,0.317,50.22,0.86,94.5
2/15/2025 9:36,130,233.68,0.022,78.1,0.08,50.46,0.62,42.6
2/15/2025 9:37,131,213.26,0.057,11.7,0.012,49.74,0.44,30.1
2/15/2025 9:38,132,234.97,0.047,55.2,0.064,50.07,0.63,38.6
2/15/2025 9:39,133,211.75,0.078,14.5,0.016,50.46,0.49,32
2/15/2025 9:39,134,224.83,0.034,51.8,0.059,50.35,0.59,36.7
2/15/2025 9:40,135,265.06,0.101,324.3,0.356,50.13,0.91,108
2/15/2025 9:41,136,203.9,0.025,4.9,0.005,49.78,0.47,29.4
2/15/2025 9:42,137,176.01,0.109,20.1,0.017,49.82,0.52,32.8
2/15/2025 9:42,138,193.38,0.057,10.3,0.012,50.45,0.57,30.8
2/15/2025 9:43,139,223.26,0.062,79.8,0.084,50.35,0.6,42.5
2/15/2025 9:44,140,202.28,0.029,6,0.006,50.5,0.58,30.4
2/15/2025 9:45,141,229.89,0.057,64.7,0.066,50.13,0.58,40.5
2/15/2025 9:45,142,238.26,0.06,91.6,0.083,49.93,0.47,42.3
2/15/2025 9:46,143,160.08,0.128,20.4,0.019,50.26,0.65,33.3
2/15/2025 9:47,144,207.69,0.038,7.4,0.007,49.91,0.7,28.2
2/15/2025 9:48,145,163.77,0.127,20.3,0.02,49.65,0.52,30.7
2/15/2025 9:48,146,185.88,0.067,13.1,0.014,49.92,0.51,29.5
2/15/2025 9:49,147,210.87,0.048,11.2,0.013,50.25,0.44,30.7
2/15/2025 9:50,148,263.89,0.077,292.1,0.275,49.53,0.92,108.5
2/15/2025 9:51,149,238.3,0.028,89.9,0.091,49.59,0.57,43.8
2/15/2025 9:51,150,225.67,0.066,60.8,0.058,50.28,0.69,37.4
2/15/2025 9:52,151,198.75,0.034,6.8,0.007,49.51,0.63,30.6
2/15/2025 9:53,152,190.84,0.056,10.6,0.01,50.07,0.63,28.8
2/15/2025 9:54,153,228.59,0.065,69.5,0.076,49.89,0.67,39.1
2/15/2025 9:54,154,213.08,0.039,8.3,0.008,50.36,0.56,29.5
2/15/2025 9:55,155,204.52,0.051,11.6,0.01,49.72,0.51,30
2/15/2025 9:56,156,227.61,0.039,81.2,0.072,50.22,0.56,41.9
2/15/2025 9:57,157,194.61,0.073,14.9,0.016,50.38,0.65,31.3
2/15/2025 9:57,158,206,0.053,9.5,0.008,50.33,0.42,29.1
2/15/2025 9:58,159,180.07,0.037,7,0.007,50.28,0.55,29.7
2/15/2025 9:59,160,209.92,0.057,13.8,0.013,49.89,0.4,31.1
2/15/2025 10:00,161,260.08,0.106,317.9,0.289,50.23,0.93,93.4
2/15/2025 10:00,162,192.04,0.079,13,0.012,49.7,0.4,31.4
2/15/2025 10:01,163,227.54,0.035,83,0.081,50.2,0.59,41.2
2/15/2025 10:02,164,223.24,0.059,63.4,0.061,49.78,0.47,40
2/15/2025 10:03,165,213.93,0.034,8.4,0.007,50.29,0.69,30.6
2/15/2025 10:03,166,219.06,0.033,6.7,0.006,49.51,0.6,28.9
2/15/2025 10:04,167,201.55,0.049,11.7,0.01,50.22,0.63,29.6
2/15/2025 10:05,168,201.01,0.066,14.2,0.014,50.28,0.47,31.6
2/15/2025 10:06,169,232.72,0.067,99.1,0.094,50.14,0.45,46.5
2/15/2025 10:06,170,225.2,0.024,88.7,0.095,49.79,0.55,42.1
2/15/2025 10:07,171,194.63,0.041,7.2,0.006,49.58,0.68,29.8
2/15/2025 10:08,172,212.1,0.058,14.4,0.013,49.8,0.69,30.5
2/15/2025 10:09,173,252.95,0.052,338.5,0.406,50.1,0.85,91.6
2/15/2025 10:09,174,204.37,0.056,11.6,0.014,50.03,0.61,31.6
2/15/2025 10:10,175,164.59,0.079,11.6,0.012,49.82,0.53,31.9
2/15/2025 10:11,176,170.82,0.078,12.8,0.013,50.45,0.52,29.3
2/15/2025 10:12,177,188.74,0.034,6.8,0.006,49.96,0.58,29.4
2/15/2025 10:12,178,269.71,0.076,271.3,0.259,49.84,0.85,97.2
2/15/2025 10:13,179,221.42,0.029,94.6,0.102,49.65,0.66,43.7
2/15/2025 10:14,180,211.57,0.071,17.7,0.021,49.51,0.68,30.1
2/15/2025 10:15,181,210.9,0.049,10.9,0.011,50.43,0.47,29.6
2/15/2025 10:15,182,184.6,0.057,11.4,0.011,50.19,0.45,31.5
2/15/2025 10:16,183,168.02,0.076,13.3,0.014,50.44,0.62,30.8
2/15/2025 10:17,184,208.71,0.054,11.9,0.011,50.34,0.46,30.6
2/15/2025 10:18,185,234.24,0.073,82.2,0.079,49.97,0.67,43.5
2/15/2025 10:18,186,188.3,0.071,15.8,0.015,50.02,0.63,31.3
2/15/2025 10:19,187,207.34,0.063,14.7,0.015,50.36,0.56,30.7
2/15/2025 10:20,188,167.87,0.129,25.3,0.023,49.86,0.45,33.3
2/15/2025 10:21,189,218.46,0.057,13,0.011,50.23,0.58,31.2
2/15/2025 10:21,190,227.04,0.067,99.5,0.103,49.61,0.54,45.9
2/15/2025 10:22,191,251.14,0.055,255.3,0.215,50.23,0.89,95.3
2/15/2025 10:23,192,213.54,0.042,9.6,0.009,50.29,0.47,29.1
2/15/2025 10:24,193,222.47,0.031,91.9,0.102,49.83,0.6,42.7
2/15/2025 10:24,194,181.12,0.043,6.9,0.007,49.92,0.53,28.3
2/15/2025 10:25,195,225.39,0.042,68.5,0.066,50.06,0.69,38.7
2/15/2025 10:26,196,262.16,0.116,270.2,0.286,50.06,0.93,107.5
2/15/2025 10:27,197,209.81,0.048,10.7,0.011,49.96,0.4,29.3
2/15/2025 10:27,198,229.36,0.037,67.2,0.057,50.46,0.66,38.4
2/15/2025 10:28,199,200.85,0.08,15.3,0.014,50.07,0.65,30.1
2/15/2025 10:29,200,183.68,0.075,12.1,0.014,49.99,0.53,31.9
2/15/2025 10:30,201,219.01,0.028,6.2,0.006,50.01,0.57,28.1
2/15/2025 10:30,202,222.74,0.027,78.4,0.084,49.59,0.59,40.9
2/15/2025 10:31,203,226.4,0.062,79.6,0.094,49.66,0.66,42.4
2/15/2025 10:32,204,196.92,0.037,8.6,0.008,49.56,0.58,28.8
2/15/2025 10:33,205,218.5,0.072,17.8,0.015,49.88,0.63,31.2
2/15/2025 10:33,206,224.14,0.021,55,0.047,50.23,0.66,37.8
2/15/2025 10:34,207,201.08,0.041,7.9,0.007,50.11,0.67,29.2
2/15/2025 10:35,208,176.77,0.129,26.9,0.023,49.64,0.56,33.3
2/15/2025 10:36,209,215.94,0.031,6.8,0.007,49.93,0.6,29.5
2/15/2025 10:36,210,198.22,0.045,7.6,0.008,50.35,0.51,28.4
2/15/2025 10:37,211,195.82,0.028,5.3,0.006,49.79,0.57,29.1
2/15/2025 10:38,212,166.61,0.128,22.7,0.019,49.66,0.59,33.2
2/15/2025 10:39,213,215.72,0.03,6.3,0.005,50.27,0.52,30.5
2/15/2025 10:39,214,229.72,0.037,98.6,0.107,50.33,0.4,44.5
2/15/2025 10:40,215,184.68,0.054,10,0.008,49.74,0.49,29
2/15/2025 10:41,216,194.54,0.037,8.3,0.008,49.89,0.62,31.1
2/15/2025 10:42,217,258.96,0.093,345.7,0.407,49.77,0.88,109.1
2/15/2025 10:42,218,192.5,0.062,11.4,0.01,50.38,0.45,29.1
2/15/2025 10:43,219,216.42,0.027,6,0.006,50.35,0.47,30.5
2/15/2025 10:44,220,220.61,0.046,85.7,0.076,49.68,0.51,43.2
2/15/2025 10:45,221,191.02,0.021,4,0.004,49.73,0.42,29
2/15/2025 10:45,222,222.92,0.072,98.3,0.092,50.49,0.48,44.8
2/15/2025 10:46,223,201.35,0.071,15.8,0.019,50.11,0.54,29.9
2/15/2025 10:47,224,213.09,0.062,13.1,0.013,50.44,0.45,30.1
2/15/2025 10:48,225,175.84,0.075,11.6,0.011,50.01,0.52,29.1
2/15/2025 10:48,226,237.17,0.037,78.9,0.071,49.76,0.55,41.4
2/15/2025 10:49,227,228.45,0.049,59.5,0.06,49.82,0.56,39.3
2/15/2025 10:50,228,201.25,0.062,14.6,0.015,49.65,0.6,29.8
2/15/2025 10:51,229,211,0.043,7.9,0.008,50.4,0.41,29.7
2/15/2025 10:51,230,203.69,0.046,9.8,0.01,49.67,0.41,30.5
2/15/2025 10:52,231,186.38,0.033,6,0.007,49.77,0.66,28.2
2/15/2025 10:53,232,213.64,0.06,12.4,0.014,49.67,0.41,30.3
2/15/2025 10:54,233,225.3,0.051,56.5,0.064,50.29,0.6,37.8
2/15/2025 10:54,234,232.74,0.059,80.9,0.083,49.89,0.49,41.7
2/15/2025 10:55,235,205.69,0.036,8.2,0.008,49.57,0.51,31
2/15/2025 10:56,236,199.39,0.076,13.3,0.016,49.75,0.4,30.5
2/15/2025 10:57,237,212.35,0.068,16.5,0.016,49.93,0.44,29.9
2/15/2025 10:57,238,183.87,0.064,12.2,0.011,50.04,0.45,30.4
2/15/2025 10:58,239,207.72,0.029,6.6,0.006,50.24,0.54,29.5
2/15/2025 10:59,240,222.52,0.022,93.5,0.076,50.05,0.62,44.5
2/15/2025 11:00,241,223.54,0.062,82.3,0.079,49.97,0.62,43.3
2/15/2025 11:00,242,200.52,0.076,16,0.014,50.16,0.7,32.1
2/15/2025 11:01,243,192.48,0.073,14.4,0.017,49.83,0.42,30.8
2/15/2025 11:02,244,222.91,0.077,94.3,0.093,50.27,0.65,44.9
2/15/2025 11:03,245,217.55,0.062,12.7,0.014,50.45,0.54,31.2
2/15/2025 11:03,246,219.73,0.053,13.4,0.013,49.56,0.65,31.3
2/15/2025 11:04,247,188.31,0.022,4.8,0.004,50.31,0.65,29.9
2/15/2025 11:05,248,173.35,0.141,24.4,0.024,49.94,0.42,33.7
2/15/2025 11:06,249,239.87,0.055,60.1,0.064,50.15,0.67,39.5
2/15/2025 11:06,250,232.13,0.072,92.3,0.096,49.88,0.42,44.4
2/15/2025 11:07,251,208.07,0.061,14.8,0.017,49.95,0.52,30.2
2/15/2025 11:08,252,186.66,0.078,15.4,0.013,49.85,0.56,31.2
2/15/2025 11:09,253,269.02,0.069,287,0.245,49.54,0.9,102.5
2/15/2025 11:09,254,166.27,0.103,15.6,0.016,49.59,0.41,31.2
2/15/2025 11:10,255,185.72,0.045,9.9,0.011,50.32,0.66,31.6
2/15/2025 11:11,256,216.5,0.042,8.3,0.009,50.49,0.54,30.6
2/15/2025 11:12,257,205.92,0.045,9.4,0.009,50.25,0.66,31.2
2/15/2025 11:12,258,233.75,0.04,86.3,0.08,49.55,0.51,43.6
2/15/2025 11:13,259,217.77,0.06,14.4,0.017,49.93,0.45,30.4
2/15/2025 11:14,260,222.83,0.021,89,0.095,50.23,0.64,44.2
2/15/2025 11:15,261,206.38,0.079,17.1,0.015,49.79,0.61,32.6
2/15/2025 11:15,262,161.65,0.141,26.6,0.024,49.88,0.6,32.4
2/15/2025 11:16,263,186.45,0.022,3.8,0.004,49.61,0.42,29.9
2/15/2025 11:17,264,178.28,0.099,19.2,0.017,49.74,0.57,31.9
2/15/2025 11:18,265,225.47,0.06,94.5,0.099,50.49,0.65,42.9
2/15/2025 11:18,266,214.31,0.063,14.1,0.016,49.78,0.46,29.5
2/15/2025 11:19,267,221.32,0.04,52.6,0.044,50.2,0.51,37.8
2/15/2025 11:20,268,231.16,0.03,86.7,0.096,50.28,0.47,42
2/15/2025 11:21,269,224.47,0.039,85.8,0.079,49.67,0.44,42.3
2/15/2025 11:21,270,201.5,0.021,3.8,0.003,50.16,0.43,29.3
2/15/2025 11:22,271,164.23,0.084,12,0.013,49.96,0.65,29.3
2/15/2025 11:23,272,166.13,0.131,20.9,0.02,49.8,0.42,33.3
2/15/2025 11:24,273,227.27,0.06,54.5,0.058,49.66,0.52,38
2/15/2025 11:24,274,221.1,0.06,67.3,0.055,50.22,0.69,39
2/15/2025 11:25,275,259.51,0.11,346.1,0.392,49.63,0.97,99
2/15/2025 11:26,276,207.66,0.07,15.7,0.013,50.46,0.44,31.9
2/15/2025 11:27,277,191.25,0.03,6.7,0.006,50.15,0.55,30.3
2/15/2025 11:27,278,197.24,0.042,9.5,0.009,49.71,0.68,31
2/15/2025 11:28,279,269.98,0.099,303.9,0.338,49.74,0.88,96.1
2/15/2025 11:29,280,190.31,0.026,5.4,0.006,50,0.51,29.2
2/15/2025 11:30,281,237.6,0.066,69.2,0.07,50.11,0.54,41
2/15/2025 11:30,282,210.31,0.071,16.7,0.019,50.46,0.48,30.6
2/15/2025 11:31,283,226.33,0.076,81.4,0.07,50,0.45,40.9
2/15/2025 11:32,284,262.6,0.075,225.3,0.265,49.82,0.75,106.8
2/15/2025 11:33,285,222.61,0.058,60.4,0.072,50.33,0.58,39
2/15/2025 11:33,286,183.5,0.033,7.2,0.007,49.88,0.63,29.8
2/15/2025 11:34,287,264.72,0.101,233.6,0.23,49.61,0.79,97.5
2/15/2025 11:35,288,229.62,0.021,78.6,0.094,50.09,0.42,40.2
2/15/2025 11:36,289,230.47,0.041,74.5,0.088,50.45,0.7,42
2/15/2025 11:36,290,193.04,0.07,14.8,0.018,50.07,0.43,31.3
2/15/2025 11:37,291,193.22,0.044,8.9,0.008,49.87,0.44,31.3
2/15/2025 11:38,292,180.07,0.066,13.2,0.011,49.87,0.58,30.6
2/15/2025 11:39,293,205.53,0.029,7.2,0.006,50.22,0.44,29.2
2/15/2025 11:39,294,191.53,0.047,8.1,0.008,50.16,0.42,31
2/15/2025 11:40,295,164.51,0.123,20.5,0.02,49.63,0.64,32.3
2/15/2025 11:41,296,167.48,0.135,23.7,0.02,49.87,0.47,32.5
2/15/2025 11:42,297,206.18,0.046,11.1,0.011,50.07,0.48,30.7
2/15/2025 11:42,298,203.81,0.079,18.8,0.021,50.04,0.54,30.7
2/15/2025 11:43,299,226.44,0.047,57.4,0.058,50.15,0.56,39.2
2/15/2025 11:44,300,186.95,0.028,4.7,0.005,49.87,0.62,29
2/15/2025 11:45,301,226.19,0.053,54.4,0.052,50.05,0.54,38.8
2/15/2025 11:45,302,229.32,0.043,69.8,0.062,49.84,0.42,39.6
2/15/2025 11:46,303,237.33,0.039,61.4,0.054,50.02,0.6,37.4
2/15/2025 11:47,304,207.34,0.04,9.1,0.009,49.66,0.67,29.4
2/15/2025 11:48,305,226.79,0.078,80.8,0.075,50.18,0.54,41.8
2/15/2025 11:48,306,183.01,0.073,15.3,0.015,49.99,0.51,32.5
2/15/2025 11:49,307,171.8,0.125,25.2,0.028,50.14,0.44,32.3
2/15/2025 11:50,308,177.62,0.13,25.7,0.027,50.01,0.44,32.3
2/15/2025 11:51,309,174.5,0.083,15.8,0.017,49.96,0.44,30.6
2/15/2025 11:51,310,222.02,0.027,88.1,0.077,50.22,0.6,43.9
2/15/2025 11:52,311,163.15,0.089,14.2,0.016,50.24,0.68,29.5
2/15/2025 11:53,312,263.98,0.07,215.4,0.228,49.83,0.79,106.7
2/15/2025 11:54,313,178.62,0.112,23.6,0.021,50.1,0.52,33.2
2/15/2025 11:54,314,209.67,0.075,15.4,0.014,50.11,0.59,30.9
2/15/2025 11:55,315,237.57,0.064,60.6,0.072,50.23,0.67,38
2/15/2025 11:56,316,222.84,0.038,81.4,0.081,50.33,0.65,43.1
2/15/2025 11:57,317,209.29,0.043,10.2,0.01,49.75,0.55,29.1
2/15/2025 11:57,318,200.16,0.036,8.5,0.009,50.29,0.59,30.9
2/15/2025 11:58,319,215.93,0.078,15.4,0.018,49.9,0.56,29.9
2/15/2025 11:59,320,216.67,0.08,20.6,0.024,49.85,0.7,31.8
2/15/2025 12:00,321,192.98,0.05,11.5,0.014,50.18,0.64,29.5
2/15/2025 12:00,322,217.08,0.025,4.9,0.004,50.22,0.44,29.2
2/15/2025 12:01,323,213.03,0.062,14.5,0.015,49.96,0.52,32
2/15/2025 12:02,324,195.56,0.065,12.3,0.014,49.83,0.61,29.2
2/15/2025 12:03,325,200.59,0.069,16.4,0.016,50.32,0.61,32.6
2/15/2025 12:03,326,184.65,0.063,12,0.01,49.75,0.68,31.8
2/15/2025 12:04,327,238.91,0.068,64.4,0.052,49.59,0.47,39.2
2/15/2025 12:05,328,231.72,0.057,75,0.087,49.95,0.48,42.2
2/15/2025 12:06,329,210.2,0.04,9,0.011,49.53,0.67,28.5
2/15/2025 12:06,330,190.12,0.065,10.8,0.011,49.79,0.44,31.1
2/15/2025 12:07,331,193.42,0.037,7.5,0.008,49.52,0.47,29.5
2/15/2025 12:08,332,233.05,0.067,66.9,0.072,50.34,0.58,40.5
2/15/2025 12:09,333,214.3,0.039,9.2,0.008,50.28,0.64,31
2/15/2025 12:09,334,191.55,0.026,5.5,0.006,50.15,0.44,30.7
2/15/2025 12:10,335,206,0.056,12.9,0.014,50.47,0.43,30.9
2/15/2025 12:11,336,233.41,0.072,75.6,0.086,49.93,0.53,40.4
2/15/2025 12:12,337,239.15,0.035,90.8,0.095,50.46,0.48,42.3
2/15/2025 12:12,338,185.13,0.036,5.9,0.005,49.61,0.69,28.8
2/15/2025 12:13,339,233.92,0.061,85.3,0.096,50.38,0.59,43.9
2/15/2025 12:14,340,196.64,0.073,14.9,0.017,49.54,0.52,32.3
2/15/2025 12:15,341,236.49,0.077,78.2,0.083,50.37,0.63,41.9
2/15/2025 12:15,342,221.14,0.079,56.9,0.056,49.88,0.63,37
2/15/2025 12:16,343,198.9,0.046,8.6,0.009,49.56,0.44,30.7
